Debater,Partner School,Rounds
Blake Lyman,University of Massachusetts,24
Blake Lyman,Tufts,10
Blake Zou,Georgetown,48
Blake Zou,Penn,8
Blake Zou,University of Virginia,8
Bo Xin Zhao,Yale,18
Boah Kim,Georgetown,4
Bohou Zhang,Swarthmore,10
Bomin Koo,Yale,14
Boubacar Coulibaly,Lehigh,12
Bowser Liu,University of Chicago,82
Bowser Liu,Penn,10
Braden Farley,Grove City College,8
Bradley Tidwell,Yale,52
Bradley Tidwell,NYU,7
Bradley Tidwell,Tufts,6
Brady Keith,Penn,4
Brandon Burton,University of Virginia,117
Brandon Burton,George Washington,24
Brandon Cheng,Harvard,10
Brandon Korn,Northeastern,8
Brandon Korn,Princeton,6
Brandon Korn,Swarthmore,2
Brandon Wang,University of Chicago,4
Brendan Case,Bentley University,10
Brendan Finnegan,George Washington,36
Brendan Mcdermott,Binghamton University,4
Brendan Poon,Stanford,8
Brendon Chen,University of Chicago,75
Brendon Lee,Harvard,6
Brett Poggi,Fordham,28
Brian Chan,Princeton,4
Brian Li,University of Chicago,14
Briana Bao,Amherst,12
Brianna Townsend,Harvard,6
Brianna Townsend,Brown,4
Brielle Ballard,American,6
Brivic Sato,University of Chicago,12
Brivic Sato,Bates,6
Brock Walker,Columbia,2
Brody Taylor,Northeastern,10
Brooke Blanton,Northeastern,14
Brooke Blanton,Brown,6
Bruno Sinka,Georgetown,6
Bryan Machado,Boston University,22
Bryson Handy,George Washington,10
Bukhosi Dube,Yale,25
Burke Cochran,Georgetown,4
Burke Croft,University of Chicago,4
Cailyn Min,Georgetown,42
Cailyn Min,Rutgers,10
Cailyn Min,Yale,10
Cailyn Min,University of Chicago,8
Caitlin Barlow,University of Chicago,8
Caitlin Bourke,Maryland,54
Caitlin Hodge,Princeton,18
Caitlyn Kim,Penn,8
Cale Teevan,NYU,14
Caleb Betts,George Washington,14
Caleb Chung,Harvard,2
Caleb Crayton,Yale,4
Caleb Loh,Yale,58
Caleb Loh,University of Chicago,10
Calvin Liu,Swarthmore,4
Cam Chacon,Yale,6
Cam Chavarry,Grinnell,6
Cam Kettles,Harvard,3
Cameron Chacon,Yale,52
Cameron Stevenson,St. Mary's,4
Cami Brix,Swarthmore,4
Campbell Haire,Boston University,8
Carina Li,Penn,18
Carl Scandelius,Harvard,2
Carole Darve,Stanford,32
Carole Darve,Fordham,10
Carolina Aronhime,University of Virginia,16
Caroline Gihlstorf,Haverford,2
Caroline Koclanes,University of Chicago,2
Caroline Lesser,Dartmouth,2
Carson Landry,Pace,10
Cassandra Fitts,Boston University,40
Cassandra Fitts,Wellesley,10
Cassandra Fitts,Brandeis,6
Cassandra Hansen,William and Mary,22
Cassie Fitts,Boston University,30
Cassie Fitts,Brandeis,10
Catherine Gooding,Bates,4
Catherine Jeon,Harvard,6
Catherine Liu,Harvard,143
Catherine Wang,Swarthmore,2
Cayleigh Soderholm,Georgetown,18
Cayleigh Soderholm,George Washington,12
Cayleigh Soderholm,American,8
Cayleigh Soderholm,Johns Hopkins,8
Cayleigh Soderholm,University of Virginia,7
Cece Szkutak,Boston University,24
Cece Szkutak,Tufts,8
Cece Szkutak,Northeastern,4
Cece Szkutak,Wellesley,4
Ceci Granda-Scott,Amherst,18
Ceci Granda-Scott,Tufts,10
Cecilia Granda-Scott,Amherst,184
Cecilia Granda-Scott,Bates,10
Cecilia Granda-Scott,Tufts,10
Cecilia Granda-Scott,Brown,6
Cecilia Granda-Scott,Columbia,6
Cecilia Granda-Scott,University of Chicago,4
Cecilia Xia,Stanford,2
Chan Chung,Drexel,12
Chan Chung,George Washington,6
Chan Chung,Temple,4
Charlene Canning,University of Chicago,18
Charlene Canning,Johns Hopkins,6
Charles Anderson,Bowdoin College,10
Charles Ma,Harvard,9
Charles Ma,Boston University,6
Charles Mayville,University of Chicago,2
Charlie Lechowicz,Bates,14
Charlie Miller,William and Mary,9
Charlie Thompson-Wood,Drexel,4
Charlie Yang,Yale,4
Charlotte Colder,Tufts,20
Charlotte Comstock,Penn,6
Charlotte Hall,Swarthmore,14
Charlotte Packer,William and Mary,10
Charlotte Precourt,Wellesley,2
Charlotte Schonwald,Lehigh,6
Charly Chen,Swarthmore,10
Charmaine Tan,NYU,26
Charming Dube,Tufts,2
Chase Fong,University of Pittsburgh,4
Chase Goldberg Friedman,Northeastern,10
Chase Goldberg Friedman,Smith,10
Chase Goldberg Friedman,Boston University,8
Chase Goldberg Friedman,Brandeis,8
Chase Wilson,Northeastern,12
Chastin Crump,Fisher College,28
Chelsea Zhang,Wesleyan,8
Chetanya Singh,Brown,10
Chetanya Singh,Princeton,6
Chi Nguyen,Yale,14
Chloe Attlan,University of Chicago,10
Chloe Hutchinson,Fisher College,4
Chloe Kivumbi,University of Massachusetts,6
Chloe Noh,Harvard,4
Chloe Tse,Columbia,4
Chloe Yim,Amherst,2
Chris Ahrens,William and Mary,10
Chris Conrad,Haverford,6
Chris Gooding,Bates,4
Chris Morillo,Brown,14
Chris Sylvester,Yale,16
Christian Bohmer,Dartmouth,10
Christian Chantayan,Dartmouth,8
Christian Watson,Brandeis,8
Christine Seo,Princeton,19
Christoffer Gernow,Harvard,10
Christopher Bao,Princeton,2
Christopher Choi,Brandeis,10
Christopher O'Keeffe,Maryland,8
Christopher Tu,Georgetown,18
Chuka Okwumabua,Harvard,18
Cindy Chen,Penn,10
Cindy Frempong,Boston University,8
Cindy Frempong,Rutgers,4
Cindy Nie,Brandeis,12
Cindy Nie,Columbia,6
Cindy Wang,Georgetown,14
Cindy Wang,Johns Hopkins,12
Cindy Wang,University of Pittsburgh,6
Cindy Wang,William and Mary,2
Cindy Zhao,Wellesley,42
Cindy Zhao,Tufts,4
Cindy Zhao,Brown,2
Claire Beamer,Stanford,6
Claire Cordonnier,NYU,18
Claire Liu,Amherst,4
Claire Raulston,George Washington,31
Claire Sheeler,Swarthmore,17
Clara Barsoum,George Washington,11
Clara Page,Amherst,20
Clara Page,Smith,6
Clarence Guo,Penn,8
Claudia Meng,Yale,2
Clement Tsao,Penn,22
Clement Tsao,Georgetown,4
Clemente Nicado Yelmene,Boston University,58
Clemente Nicado Yelmene,Johns Hopkins,8
Clemente Nicado Yelmene,Rutgers,8
Clemente Nicado Yelmene,Wellesley,6
Clemente Nicado Yelmene,Brandeis,2
Clemente Nicado-Yelmene,Boston University,4
Coco Chen,Brandeis,4
Coco Greene,Boston University,28
Coco Greene,Brown,4
